telepulesnev;kshk5;jogallas;terulet;lakonepesseg;lakasszam;nepsuruseg
Aba;17376;város;8 805;4 421;1 546;50,21
Abádszalók;12441;város;13 223;4 129;2 038;31,23
Abaliget;12548;község;1 609;654;241;40,65
Abasár;24554;község;2 082;2 474;1 188;118,83
Abaújalpár;15662;község;848;52;58;6,13
Abaújkér;26718;község;1 728;610;291;35,30
Abaújlak;02820;község;706;62;81;8,78
Abaújszántó;03595;város;4 739;3 000;1 212;63,30
Abaújszolnok;26338;község;866;167;59;19,28
Abaújvár;02273;község;735;251;140;34,15
Abda;11882;község;1 902;3 185;1 165;167,46
Abod;10357;község;3 116;206;137;6,61
Abony;27872;város;12 797;14 475;6 007;113,11
Ábrahámhegy;04561;község;1 488;434;306;29,17
Ács;04428;város;10 383;6 804;2 725;65,53
Acsa;18573;község;2 694;1 373;480;50,97
Acsád;07214;község;1 434;661;183;46,09
Acsalag;33385;község;1 042;479;220;45,97
Ácsteszér;18139;község;1 771;704;277;39,75
Adács;23241;község;3 794;2 551;1 223;67,24
Ádánd;06080;község;2 952;2 107;852;71,38
Adásztevel;07302;község;837;773;312;92,35
Adony;08925;város;6 105;3 727;1 559;61,05
Adorjánháza;31307;község;1 142;355;195;31,09
Adorjás;06868;község;810;184;62;22,72
Ág;25812;község;1 203;189;65;15,71
Ágasegyháza;17686;község;5 587;1 845;858;33,02
Ágfalva;04880;község;1 308;2 270;732;173,55
Aggtelek;09362;község;4 382;541;241;12,35
Agyagosszergény;29407;község;1 989;940;379;47,26
Ajak;08776;város;2 476;3 676;1 331;148,47
Ajka;06673;város;9 505;28 071;12 572;295,33
Aka;06682;község;1 810;256;110;14,14
Akasztó;21944;község;6 488;3 292;1 557;50,74
Alacska;33093;község;856;757;281;88,43
Alap;26824;község;4 829;1 860;877;38,52
Alattyán;25265;község;3 429;1 941;912;56,61
Albertirsa;31653;város;7 300;12 393;4 960;169,77
Alcsútdoboz;15176;község;5 071;1 427;585;28,14
Aldebrõ;06345;község;2 178;696;342;31,96
Algyõ;34245;nagyközség;7 577;5 125;2 073;67,64
Alibánfa;02644;község;584;417;166;71,40
Almamellék;13329;község;4 433;374;154;8,44
Almásfüzitõ;32346;község;819;2 103;1 126;256,78
Almásháza;23384;község;498;80;24;16,06
Almáskamarás;29595;község;1 471;817;450;55,54
Almáskeresztúr;20376;község;1 303;85;51;6,52
Álmosd;27641;község;3 413;1 634;701;47,88
Alsóberecki;20482;község;686;708;282;103,21
Alsóbogát;34184;község;1 201;231;88;19,23
Alsódobsza;19664;község;1 068;275;150;25,75
Alsógagy;14429;község;628;87;55;13,85
Alsómocsolád;17385;község;1 300;280;140;21,54
Alsónána;29665;község;1 314;693;280;52,74
Alsónémedi;23199;nagyközség;4 907;5 265;2 130;107,30
Alsónemesapáti;19512;község;1 451;650;273;44,80
Alsónyék;11563;község;3 201;729;302;22,77
Alsóörs;30526;község;3 334;1 732;797;51,95
Alsópáhok;32081;község;1 802;1 352;665;75,03
Alsópetény;16425;község;1 968;560;300;28,46
Alsórajk;18829;község;845;313;169;37,04
Alsóregmec;23223;község;1 540;165;87;10,71
Alsószenterzsébet;08767;község;963;45;38;4,67
Alsószentiván;25283;község;3 965;599;285;15,11
Alsószentmárton;33279;község;1 361;1 270;296;93,31
Alsószölnök;22549;község;1 002;353;167;35,23
Alsószuha;28839;község;2 242;401;172;17,89
Alsótelekes;08217;község;644;122;92;18,94
Alsótold;07621;község;786;226;111;28,75
Alsóújlak;22725;község;2 102;581;290;27,64
Alsóvadász;29814;község;2 290;1 470;447;64,19
Alsózsolca;21032;város;2 602;5 581;1 836;214,49
Ambrózfalva;16197;község;1 122;484;237;43,14
Anarcs;29975;község;1 706;1 977;658;115,89
Andocs;28714;község;4 327;1 062;470;24,54
Andornaktálya;17987;község;1 675;2 599;1 057;155,16
Andrásfa;12317;község;823;236;139;28,68
Annavölgy;34227;község;483;923;399;191,10
Apácatorna;28370;község;729;151;84;20,71
Apagy;20303;község;3 200;2 333;872;72,91
Apaj;33561;község;7 104;1 168;430;16,44
Aparhant;26125;község;1 797;975;386;54,26
Apátfalva;14252;község;5 378;2 886;1 540;53,66
Apátistvánfalva;08873;község;1 286;385;164;29,94
Apátvarasd;27298;község;814;125;38;15,36
Apc;07241;község;2 046;2 459;1 100;120,19
Áporka;10108;község;1 747;1 134;495;64,91
Apostag;21148;község;3 194;2 021;965;63,27
Aranyosapáti;09353;község;2 111;2 069;675;98,01
Aranyosgadány;06886;község;826;364;138;44,07
Arka;26198;község;949;53;66;5,58
Arló;14331;nagyközség;4 687;3 648;1 120;77,83
Arnót;03771;község;1 754;2 381;827;135,75
Ároktõ;03823;község;4 641;1 118;479;24,09
Árpádhalom;19062;község;4 520;497;242;11,00
Árpás;32249;község;1 426;255;129;17,88
Ártánd;03319;község;1 981;533;247;26,91
Ásotthalom;10339;nagyközség;12 254;3 856;1 932;31,47
Ásványráró;26921;község;3 911;1 966;805;50,27
Aszaló;04233;község;2 536;1 839;631;72,52
Ászár;23852;község;1 868;1 676;674;89,72
Aszód;16188;város;1 620;6 129;2 461;378,33
Aszófõ;07339;község;832;403;196;48,44
Áta;28583;község;809;150;90;18,54
Átány;06503;község;5 044;1 476;574;29,26
Atkár;16090;község;3 376;1 699;729;50,33
Attala;32735;község;2 064;802;363;38,86
Babarc;05403;község;1 885;733;316;38,89
Babarcszõlõs;09663;község;425;97;61;22,82
Babócsa;30474;község;3 099;1 458;700;47,05
Bábolna;19363;város;3 355;3 855;1 381;114,90
Bábonymegyer;28316;község;2 193;796;364;36,30
Babosdöbréte;21263;község;1 252;461;229;36,82
Babót;15042;község;2 167;1 150;476;53,07
Bácsalmás;10719;város;10 832;6 434;3 133;59,40
Bácsbokod;10180;nagyközség;6 393;2 459;1 219;38,46
Bácsborsód;27234;község;7 752;1 097;416;14,15
Bácsszentgyörgy;08697;község;1 474;149;96;10,11
Bácsszõlõs;30155;község;3 883;354;225;9,12
Badacsonytomaj;22327;város;3 271;2 070;1 084;63,28
Badacsonytördemic;03267;község;1 025;864;453;84,29
Bag;09131;nagyközség;2 355;3 669;1 339;155,80
Bagamér;20011;nagyközség;4 702;2 525;971;53,70
Baglad;11059;község;486;32;41;6,58
Bagod;30368;község;1 637;1 216;465;74,28
Bágyogszovát;28769;község;2 406;1 290;548;53,62
Baj;29212;község;2 112;2 856;1 066;135,23
Baja;03522;város;17 789;35 102;17 013;197,32
Bajánsenye;17020;község;2 185;480;243;21,97
Bajna;16744;község;3 727;1 868;781;50,12
Bajót;29355;község;1 644;1 622;559;98,66
Bak;04738;község;2 305;1 605;586;69,63
Bakháza;14395;község;592;173;85;29,22
Bakóca;22275;község;1 065;270;134;25,35
Bakonszeg;15167;község;3 503;1 178;572;33,63
Bakonya;08299;község;1 507;329;142;21,83
Bakonybánk;24244;község;1 506;431;216;28,62
Bakonybél;23746;község;2 436;1 188;569;48,77
Bakonycsernye;08730;község;3 813;2 944;1 211;77,21
Bakonygyirót;28936;község;685;130;117;18,98
Bakonyjákó;29513;község;4 718;686;258;14,54
Bakonykoppány;07287;község;683;237;116;34,70
Bakonykúti;23153;község;1 245;138;76;11,08
Bakonynána;25991;község;1 493;1 012;381;67,78
Bakonyoszlop;30410;község;1 420;415;206;29,23
Bakonypéterd;22062;község;1 002;262;126;26,15
Bakonypölöske;06327;község;1 104;360;163;32,61
Bakonyság;29902;község;856;52;55;6,07
Bakonysárkány;25229;község;1 412;979;396;69,33
Bakonyszentiván;23922;község;914;223;102;24,40
Bakonyszentkirály;22813;község;2 790;834;381;29,89
Bakonyszentlászló;05944;község;3 851;1 748;776;45,39
Bakonyszombathely;22381;község;3 652;1 412;602;38,66
Bakonyszücs;26417;község;3 521;292;153;8,29
Bakonytamási;24129;község;2 049;573;271;27,96
Baks;29106;község;6 192;1 993;868;32,19
Baksa;03975;község;1 382;782;277;56,58
Baktakék;18184;község;1 879;720;282;38,32
Baktalórántháza;02325;város;3 524;3 962;1 174;112,43
Baktüttös;15097;község;971;329;144;33,88
Balajt;22521;község;903;484;147;53,60
Balassagyarmat;13657;város;2 333;15 058;6 721;645,44
Balástya;23676;község;11 000;3 422;1 894;31,11
Balaton;11527;község;1 320;1 031;447;78,11
Balatonakali;25308;község;3 620;639;342;17,65
Balatonakarattya;34421;község;2 139;861;470;40,25
Balatonalmádi;05838;város;4 988;8 640;4 311;173,22
Balatonberény;27377;község;2 609;1 102;650;42,24
Balatonboglár;33853;város;3 204;5 568;2 792;173,78
Balatoncsicsó;03072;község;1 320;216;108;16,36
Balatonederics;12238;község;1 859;996;460;53,58
Balatonendréd;19460;község;4 045;1 285;581;31,77
Balatonfenyves;20729;község;5 193;1 818;1 156;35,01
Balatonfõkajár;29461;község;2 192;1 280;533;58,39
Balatonföldvár;07117;város;1 532;2 172;1 179;141,78
Balatonfüred;21175;város;4 645;13 138;6 211;282,84
Balatonfûzfõ;02219;város;925;4 262;2 016;460,76
Balatongyörök;17002;község;3 759;1 053;544;28,01
Balatonhenye;03638;község;1 173;128;62;10,91
Balatonkenese;05148;város;4 418;2 595;1 186;58,74
Balatonkeresztúr;07375;község;2 106;1 492;749;70,85
Balatonlelle;33862;város;4 323;5 269;2 797;121,88
Balatonmagyaród;26462;község;3 153;403;259;12,78
Balatonmáriafürdõ;14562;község;2 677;677;367;25,29
Balatonõszöd;11916;község;1 508;491;412;32,56
Balatonrendes;33844;község;676;121;88;17,90
Balatonszabadi;16601;község;4 134;2 952;1 187;71,41
Balatonszárszó;24907;nagyközség;3 013;2 013;946;66,81
Balatonszemes;22822;község;3 602;1 710;986;47,47
Balatonszentgyörgy;21324;község;2 368;1 569;730;66,26
Balatonszepezd;17154;község;2 506;374;210;14,92
Balatonszõlõs;28501;község;1 281;652;221;50,90
Balatonudvari;15565;község;1 880;293;174;15,59
Balatonújlak;16470;község;1 081;445;262;41,17
Balatonvilágos;03559;község;2 921;1 161;614;39,75
Balinka;31103;község;1 862;889;378;47,74
Balkány;26958;város;9 000;6 366;2 457;70,73
Ballószög;13408;község;3 500;3 536;1 169;101,03
Balmazújváros;02918;város;20 544;17 322;6 802;84,32
Balogunyom;05102;község;1 212;1 120;419;92,41
Balotaszállás;25937;község;10 494;1 508;729;14,37
Balsa;15963;község;2 252;829;417;36,81
Bálványos;24457;község;2 369;556;264;23,47
Bana;31422;község;2 511;1 615;572;64,32
Bánd;14173;község;984;662;247;67,28
Bánfa;07603;község;1 206;167;80;13,85
Bánhorváti;25159;község;2 848;1 332;579;46,77
Bánk;24341;község;990;671;304;67,78
Bánokszentgyörgy;08439;község;3 254;611;290;18,78
Bánréve;21953;község;662;1 280;543;193,35
Bár;24378;község;900;536;237;59,56
Barabás;26480;község;3 818;1 149;382;30,09
Baracs;07047;község;5 518;3 336;1 379;60,46
Baracska;08581;község;3 968;2 731;1 059;68,83
Báránd;26693;község;4 257;2 508;1 145;58,91
Baranyahídvég;20464;község;849;172;73;20,26
Baranyajenõ;24749;község;1 555;440;158;28,30
Baranyaszentgyörgy;05485;község;727;144;76;19,81
Barbacs;06196;község;1 365;761;314;55,75
Barcs;32799;város;12 290;10 667;4 539;86,79
Bárdudvarnok;03735;község;4 856;1 102;511;22,69
Barlahida;27447;község;610;106;86;17,38
Bárna;20048;község;1 539;1 030;457;66,93
Barnag;15778;község;1 201;130;73;10,82
Bársonyos;08624;község;1 687;740;299;43,86
Basal;15495;község;404;159;78;39,36
Baskó;08846;község;2 964;158;91;5,33
Báta;11712;község;6 616;1 589;768;24,02
Bátaapáti;28909;község;2 044;412;141;20,16
Bátaszék;08864;város;6 357;6 094;2 522;95,86
Baté;32337;község;1 028;794;298;77,24
Bátmonostor;03656;község;3 795;1 503;698;39,60
Bátonyterenye;33534;város;7 892;12 117;5 708;153,54
Bátor;24022;község;2 732;324;194;11,86
Bátorliget;02990;község;3 330;740;334;22,22
Battonya;18102;város;14 571;5 794;3 011;39,76
Bátya;11961;község;3 386;2 024;939;59,78
Batyk;24864;község;808;359;190;44,43
Bázakerettye;18698;község;803;788;385;98,13
Bazsi;07427;község;910;393;180;43,19
Béb;22901;község;704;245;100;34,80
Becsehely;23144;község;3 608;1 985;749;55,02
Becske;12016;község;1 566;545;292;34,80
Becskeháza;27049;község;500;26;33;5,20
Becsvölgye;18360;község;2 140;781;348;36,50
Bedegkér;20710;község;2 600;389;198;14,96
Bedõ;33446;község;1 020;315;141;30,88
Bejcgyertyános;10384;község;3 143;427;265;13,59
Békás;27058;község;652;188;95;28,83
Bekecs;06929;község;2 572;2 446;957;95,10
Békés;09760;város;12 723;18 914;8 373;148,66
Békéscsaba;15200;megyeszékhely, megyei jogú város;19 393;59 732;29 337;308,01
Békéssámson;26189;község;7 121;2 315;1 108;32,51
